material,category,density min,density max,young-x min,young-x max,young-y min,young-y max,young-z min,young-z max,poisson min,poisson max,freq-loss min,freq-loss max,const-loss min,const-loss max,notes
Mercury,metal,13600,,2.85E+10,,,,,,0.5,,,,,,Incompressible materials such as liquids are considered to have a poisson ratio of 0.5.
Nickel,metal,8900,,2.10E+11,,,,,,0.3,,,,,,
Osmium,metal,22570,,5.50E+11,,,,,,0.25,,,,,,
Platinum,metal,21450,,1.68E+11,,,,,,0.39,,,,,,
Silver,metal,10500,,8.30E+10,,,,,,0.37,,,,,,
Steel,metal,7700,,2.00E+11,,,,,,0.31,,,,,,
Tin,metal,7310,,4.70E+10,,,,,,0.35,,,,,,
Titanium,metal,4540,,1.20E+11,,,,,,0.34,,,,,,
Tungsten,metal,19250,,4.11E+11,,,,,,0.28,,,,,,
Zinc,metal,7100,,1.08E+11,,,,,,0.25,,,,,,
Carbon Fiber,fiber,1400,,8.90E+11,1.30E+12,,,,,0.25,,,,,,
Catgut,fiber,1300,,5.50E+09,6.50E+09,,,,,,,,,,,Natural fibers without a measured poisson coefficient can be considered to have a value of 0.4 for this parameter.
Flax Fiber,fiber,1450,,5.00E+10,7.00E+10,,,,,0.4,,,,,,
Hemp Fiber,fiber,1480,,3.00E+10,8.00E+10,,,,,0.4,,,,,,
Horse Hair,fiber,1200,1400,4.90E+09,7.00E+09,,,,,,,,,,,Natural fibers without a measured poisson coefficient can be considered to have a value of 0.4 for this parameter.
Nylon,fiber,1150,1200,4.50E+09,5.50E+09,,,,,0.4,,,,,,
Silkworm Silk,fiber,1300,1380,5.00E+09,6.00E+09,,,,,0.4,,,,,,
Spider Silk,fiber,1300,,2.00E+09,5.00E+09,,,,,0.4,,,,,,
Arsenic,mineral,5700,,8.00E+09,,,,,,,,,,,,Arsenic has a highly variable poisson ratio depending on the direction of stress.
Diamond,mineral,3500,,1.22E+12,,,,,,0.2,,,,,,
Granite,stone,2700,,1.00E+10,7.00E+10,,,,,0.1,0.3,,,,,
Graphite,mineral,1400,2250,1.70E+11,3.40E+11,,,,,0.13,,,,,,
Limestone,stone,2700,,1.50E+10,5.50E+10,,,,,0.18,0.33,,,,,
Marble,stone,2560,2760,5.00E+10,7.00E+10,,,,,0.1,0.22,,,,,
Quartz,mineral,2650,,7.60E+10,9.70E+10,,,,,0.17,,,,,,
Sandstone,stone,2000,,1.00E+09,2.00E+10,,,,,0.21,0.38,,,,,
Sapphire,mineral,3980,,3.45E+11,,,,,,0.25,0.28,,,,,
Shale,stone,2500,,1.00E+09,7.00E+10,,,,,0.2,0.4,,,,,
Silicon,mineral,2330,,1.30E+11,1.88E+11,,,,,0.36,,,,,,
Uranium,mineral,19100,,2.08E+11,,,,,,0.23,,,,,,
Bone,other,1900,,9.00E+09,1.80E+10,,,,,0.15,,,,,,
Carrot,other,1140,,1.36E+06,,,,,,0.15,0.35,,,,,
Concrete,other,1680,3000,3.00E+10,5.00E+10,,,,,0.1,0.2,,,,,
Cork,other,200,250,2.00E+07,,,,,,0,,,,,,Cork can often have a negative poisson value.
Glass (Borosilicate),other,2300,,6.20E+10,8.10E+10,,,,,0.2,,,,,,
Glass (Soda-Lime),other,2500,,7.20E+10,7.40E+10,,,,,0.23,,,,,,
Ice,other,920,,1.20E+10,,8.60E+09,,,,0.33,,,,,,
Marshmallow,other,370,,2.90E+04,,,,,,,,,,,,"Data for marshmallow is not partial - we suggest the poisson value near zero, similar to cork."
Olive Oil,other,920,,1.35E+09,,,,,,0.5,,,,,,Incompressible materials such as liquids are considered to have a poisson ratio of 0.5.
Rubber (hard),other,1100,1200,1.00E+07,2.30E+09,,,,,0.48,0.5,,,,,
Rubber (soft),other,950,,3.00E+06,5.00E+06,,,,,0.48,0.5,,,,,
Seawater,other,1020,,2.34E+09,,,,,,0.5,,,,,,Incompressible materials such as liquids are considered to have a poisson ratio of 0.5.
Tooth Enamel,other,2900,,8.30E+10,,,,,,0.28,,,,,,
Water,other,1000,,2.15E+09,,,,,,0.5,,,,,,Incompressible materials such as liquids are considered to have a poisson ratio of 0.5.
